objectid,filename,youtubeid,depiction,season,colors,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
photo001,Iowa_Melt_11779.jpg,,Melting,Winter,white,Iowa Melt,image/jpeg,Photograph of snow melt,"Blalock, Stephanie",,2017-09-04,yes,digital photo,ice; snow,"Iowa City, IA",41.65833,-91.53456,,,,,,class_projtest_001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
photo002,Iowa_River_Sunrise _17561.jpg,,Sunrise,Winter,red,Iowa River Sunrise,image/jpeg,Photograph of sunrise,"Blalock, Stephanie",,2017-09-17,yes,digital photo,sunrise; warm,"Iowa City, IA",41.65833,-91.53456,,,,,,class_projtest_002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
photo003,Snow_march_walk_11851.jpg,,Snowy,Spring,brown,Snow March Walk,image/jpeg,Photograph of walk,"Blalock, Stephanie",,2016-04-05,yes,digital photo,snow; walk,"Iowa City, IA",41.65833,-91.53456,,,,,,class_projtest_003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
photo004,Webs_20809.jpg,,Spiderwebs,Fall,green,Webs,image/jpeg,Photograph of webs,"Blalock, Stephanie",,2014-09-08,yes,digital photo,spring; spiders,"Iowa City, IA",41.65833,-91.53456,,,,,,class_projtest_004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
photo005,Books_13110.jpg,,Heart,Winter,pink,Balloon and Stairs,image/jpeg,Photograph of balloon,"Blalock, Stephanie",,2013-04-05,yes,digital photo,heart; holiday,"Cedar Rapids, IA",41.97787,-91.66611,,,,,,class_projtest_005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
photo006,Iowa_City_intheSnow_06345.jpg,,Snowy,Winter,blue,Snowtime,image/jpeg,Photograph of snow melt,"Blalock, Stephanie",,2013-04-03,yes,digital photo,snow; walk,"Iowa City, IA",41.65833,-91.53456,,,,,,class_projtest_006,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
photo007,Iowa_Melt_11780.jpg,,Melt,Winter,yellow,Melting Time,image/jpeg,Photograph of snow melt,"Blalock, Stephanie",,2014-04-06,yes,digital photo,holiday; spring,"Iowa City, IA",41.65833,-91.53456,,,,,,class_projtest_007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
photo008,Iowa_Melt_11771.jpg,,Tree,Spring,yellow,Harvest,image/jpeg,Photograph of snow melt,"Blalock, Stephanie",,2015-06-03,yes,digital photo,snow; walk,"Iowa City, IA",41.65833,-91.53456,,,,,,class_projtest_008,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
photo009,Iowa_Melt_11786.jpg,,River,Fall,purple,Light and Season,image/jpeg,Photograph of snow melt,"Blalock, Stephanie",,2014-09-05,yes,digital photo,spring; spiders,"Iowa City, IA",41.65833,-91.53456,,,,,,class_projtest_009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
photo010,Iowa_Melt_11783.jpg,,Tree,Winter,red,Again with the Winter,image/jpeg,Photograph of snow melt,"Blalock, Stephanie",,2016-09-08,yes,digital photo,sunrise; warm,"Cedar Rapids, IA",41.97787,-91.66611,,,,,,class_projtest_010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
photo011,Iowa_Melt_11778.jpg,,River,Spring,white,Melting More,image/jpeg,Photograph of snow melt,"Blalock, Stephanie",,2017-02-03,yes,digital photo,sunrise;warm ,"Cedar Rapids, IA",41.97787,-91.66611,,,,,,class_projtest_011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
photo012,Iowa_drought_and_storm_08951.jpg,,Drought,Summer,green,Drought Time,image/jpeg,Photograph of snow melt,"Blalock, Stephanie",,2014-09-09,yes,digital photo,snow; walk,"Cedar Rapids, IA",41.97787,-91.66611,,,,,,class_projtest_012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
photo013,Iowa_City_inthe Snow_ 06346.jpg,,Snowy,Winter,brown,Snow Midwest,image/jpeg,Photograph of walk,"Blalock, Stephanie",,2020-09-17,yes,digital photo,snow; walk,"Cedar Rapids, IA",41.97787,-91.66611,,,,,,class_projtest_013,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
photo014,Books_13111.jpg,,Event,Spring,pink,Book Work,image/jpeg,Photograph of Trip,"Blalock, Stephanie",,2019-09-17,yes,digital photo,snow; walk,"Cedar Rapids, IA",41.97787,-91.66611,,,,,,class_projtest_014,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,
photo015,Books_13109.jpg,,Event,Spring,blue,Book Work,image/jpeg,Photograph of Trip,"Blalock, Stephanie",,2018-09-17,yes,digital photo,snow; walk,"Cedar Rapids, IA",41.97787,-91.66611,,,,,,class_projtest_015,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,